Company Name,ROC registration number,Incorporation year,Industry group code,Industry type,NIC name,Main product/service group,NIC code,Size decile,ISIN code
A Y M Syntex Ltd.,54-45,1983,1.01012E+14,1,"Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether or not textured including high tenacity yarn",Partially oriented yarn (POY),20203,Decile 2,INE193B01039
Aarvee Denims & Exports Ltd.,04-10504,1988,1.01012E+14,1,Weaving of textiles,Denim,1312,Decile 2,INE273D01019
Action Construction Equipment Ltd.,05-53860,1995,1.01014E+14,1,Manufacture of other lifting and handling equipment and parts thereof,Mobile cranes,28162,Decile 2,INE731H01025
Adani Green Energy Ltd.,04-82007,2015,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of industrial plants,42209,Decile 2,INE364U01010
Adlabs Entertainment Ltd.,11-199925,2010,1.01042E+14,1,Other amusement and recreation activities n.e.c.,Amusement centres etc,93290,Decile 2,INE172N01012
Ador Welding Ltd.,Nov-47,1951,1.01014E+14,1,Manufacture of other electrical equipment,Welding electrodes / sticks / wires / fluxes,27900,Decile 2,INE045A01017
Aegis Logistics Ltd.,04-1032,1956,1.01042E+14,1,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones]",LPG storage & distribution,52109,Decile 2,INE208C01025
Agro Tech Foods Ltd.,62-6957,1986,1.01011E+14,1,Manufacture of vegetable oils and fats excluding corn oil,Edible oils,10402,Decile 2,INE209A01019
Ajmera Realty & Infra India Ltd.,11-35659,1985,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Real estate,41001,Decile 2,INE298G01027
Aksh Optifibre Ltd.,17-16132,1986,1.01014E+14,1,Manufacture of fibre optic cables for data transmission or live transmission of images,Fibre optic cables,27310,Decile 2,INE523B01011
Alchemist Ltd.,55-192643,1988,1.0104E+14,1,"Other retail sale of new goods in specialized stores n.e.c (weapons and ammunition, non food products)",Retail trade in miscellaneous manufactured articles,47739,Decile 2,INE964B01033
Alicon Castalloy Ltd.,60-59487,1990,1.01014E+14,1,Casting of non-ferrous metals,Aluminium castings,24320,Decile 2,INE062D01024
Alkyl Amines Chemicals Ltd.,11-21796,1979,1.01012E+14,1,Manufacture of organic and inorganic chemical compounds n.e.c.,Other amine function compounds,20119,Decile 2,INE150B01021
Alliance Integrated Metaliks Ltd.,55-35409,1989,1.01014E+14,1,Manufacture of other fabricated metal products n.e.c.,Other fabricated metal products,25999,Decile 2,INE123D01016
Alps Industries Ltd.,20-3544,1972,1.01012E+14,1,Preparation and spinning of cotton fiber including blended* cotton,Cotton yarn,13111,Decile 2,INE093B01015
Ambika Cotton Mills Ltd.,61-2269,1988,1.01012E+14,1,Preparation and spinning of cotton fiber including blended* cotton,Cotton yarn,13111,Decile 2,INE540G01014
Anand Projects Ltd.,20-48200,1936,1.01042E+14,1,Architectural and engineering activities and related technical consultancy,Technical consultancy & engineering services,71100,Decile 2,INE134R01013
Andhra Cements Ltd.,Jan-79,1936,1.01013E+14,1,Manufacture of clinkers and cement,Cement,23941,Decile 2,INE666E01012
Andrew Yule & Co. Ltd.,21-3229,1919,1.01011E+14,1,Processing and blending of tea including Manufacture of instant tea,"Tea, processed",10791,Decile 2,INE449C01025
Anik Industries Ltd.,11-136836,1976,1.0104E+14,1,Whole sale of other agriculture raw materials n.e.c.,Wholesale trade in food & agro-based products,46209,Decile 2,INE087B01017
Apex Buildsys Ltd.,55-51603,1993,1.01014E+14,1,Manufacture of basic metals,Metals & metal products,24,Decile 2,INE040E01028
Apex Frozen Foods Ltd.,01-80067,2012,1.01011E+14,1,Processing and preserving of fish crustacean and similar foods,"Fish, frozen",10204,Decile 2,INE346W01013
Aqua Logistics Ltd.,11-121803,1999,1.01041E+14,1,Other land transport services n.e.c,Transport & allied services,52219,Decile 2,INE544K01026
Arcotech Ltd.,05-12151,1981,1.01014E+14,1,Manufacture of other non-ferrous metals n.e.c.,"Non-ferrous metals, nec",24209,Decile 2,INE574I01035
Ashapura Minechem Ltd.,11-26396,1982,1.0102E+14,1,Other mining and quarrying,Minerals,8,Decile 2,INE348A01023
Ashiana Housing Ltd.,21-40864,1986,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Housing real estate,41001,Decile 2,INE365D01021
Asian Electronics Ltd.,11-12835,1964,1.01014E+14,1,Manufacture of electronic components,Electronic components,2610,Decile 2,INE441A01026
Asian Granito India Ltd.,04-27025,1995,1.01013E+14,1,Manufacture of ceramic products n.e.c.,Ceramic tiles,23939,Decile 2,INE022I01019
Asian Hotels (East) Ltd.,21-162762,2007,1.0104E+14,1,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats","Hotels, resorts & restaurants",55101,Decile 2,INE926K01017
