Company,ROC ,Incorporation_year,Industry_group_code,Industry_type,NIC_name,Main_product,NIC_code,decile,ISIN 
20 Microns Ltd.,Apr-68,1987,1.0102E+14,1,Other mining and quarrying,Minerals,8,Decile 3,INE144J01027
3I Infotech Ltd.,11-74411,1993,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 1,INE748C01020
3M India Ltd.,08-13543,1987,1.01012E+14,1,Manufacture of other plastics products n.e.c.,"Self-adhesive plates, sheets, films, etc.",22209,Decile 1,INE470A01017
3Rd Rock Multimedia Ltd.,11-230802,2012,1.01041E+14,1,Providing software support and maintenance to the clients,Information technology,62013,Decile 7,INE768P01012
63 Moons Technologies Ltd.,18-15586,1988,1.01016E+14,1,Diversified,Diversified,34,Decile 1,INE111B01023
7Nr Retail Ltd.,04-73076,2012,1.0104E+14,1,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",Retail trade in apparels (readymade garments),47711,Decile 8,INE413X01019
7Seas Entertainment Ltd.,62-13074,1991,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 8,INE454F01010
8K Miles Software Services Ltd.,18-101852,1993,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 5,INE650K01021
A & M Febcon Ltd.,04-75662,2013,1.0104E+14,1,Wholesale of metals and metal ores,Wholesale trade in metals & metal products,46620,Decile 8,INE319X01018
A & M Jumbo Bags Ltd.,04-65632,2011,1.01012E+14,1,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",Sacks & bags,22203,Decile 8,INE749Y01014
A 2 Z Infra Engg. Ltd.,05-34805,2002,1.01042E+14,1,Architectural and engineering activities and related technical consultancy,Technical consultancy & engineering services,71100,Decile 1,INE619I01012
A A R Commercial Co. Ltd.,21-35019,1982,1.0104E+14,1,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Wholesale trade in textiles & apparels,46411,Decile 6,INE184K01013
A A R V Infratel Ltd.,08-100274,1992,1.0104E+14,1,"Wholesale of telephone, mobile phone and communications equipment and parts",Wholesale trade in communication & broadcasting equipments,46524,Decile 10,INE432N01010
A B B India Ltd.,08-32923,1949,1.01014E+14,1,"Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines other than for metals or glass; gaskets and similar joints made of a combination of materials or layers of the same material and other general purpose machinery including Manufacture of parts and accessories for general purpose machinery and equipment.)",Machinery,28199,Decile 1,INE117A01022
A B C Bearings Ltd. [Merged],11-12028,1961,1.01014E+14,1,"Manufacture of bearings, gears, gearing and driving elements",Ball or roller bearings,28140,Decile 3,INE779A01011
A B C Gas (International) Ltd.,11-22118,1980,1.0104E+14,1,Wholesale of metals and metal ores,Wholesale trade in copper & products,46620,Decile 8,INE173M01012
A B C India Ltd.,21-217415,1972,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 4,INE125D01011
A B G Shipyard Ltd.,Apr-30,1985,1.01015E+14,1,Building of ships and boats,"Ships, boats, etc.",301,Decile 1,INE067H01016
A B M International Ltd.,55-15585,1983,1.0104E+14,1,Other non-specialised wholesale trade n.e.c.,"Wholesale trade in plastics, rubbers & products thereof",46909,Decile 5,INE251C01017
A B M Knowledgeware Ltd.,11-113638,1993,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 4,INE850B01026
A B N Intercorp Ltd.,55-140406,2005,1.0104E+14,1,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats","Hotels, resorts & restaurants",55101,Decile 8,INE982R01015
A C C Ltd.,Nov-15,1936,1.01013E+14,1,Manufacture of clinkers and cement,Cement,23941,Decile 1,INE012A01025
A C E Edutrend Ltd.,55-201811,1993,1.01042E+14,1,Education,Education,85,Decile 7,INE715F01014
