Company Name,ROC registration number,Incorporation year,Industry group code,Industry type,NIC name,Main product/service group,NIC code,Size decile,ISIN code
3I Infotech Ltd.,11-74411,1993,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 1,INE748C01020
3M India Ltd.,08-13543,1987,1.01012E+14,1,Manufacture of other plastics products n.e.c.,"Self-adhesive plates, sheets, films, etc.",22209,Decile 1,INE470A01017
63 Moons Technologies Ltd.,18-15586,1988,1.01016E+14,1,Diversified,Diversified,34,Decile 1,INE111B01023
A 2 Z Infra Engg. Ltd.,05-34805,2002,1.01042E+14,1,Architectural and engineering activities and related technical consultancy,Technical consultancy & engineering services,71100,Decile 1,INE619I01012
A B B India Ltd.,08-32923,1949,1.01014E+14,1,"Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines other than for metals or glass; gaskets and similar joints made of a combination of materials or layers of the same material and other general purpose machinery including Manufacture of parts and accessories for general purpose machinery and equipment.)",Machinery,28199,Decile 1,INE117A01022
A B G Shipyard Ltd.,Apr-30,1985,1.01015E+14,1,Building of ships and boats,"Ships, boats, etc.",301,Decile 1,INE067H01016
A C C Ltd.,Nov-15,1936,1.01013E+14,1,Manufacture of clinkers and cement,Cement,23941,Decile 1,INE012A01025
A I A Engineering Ltd.,04-15182,1991,1.01014E+14,1,Manufacture of other iron and steel casting and products thereof,Castings,24319,Decile 1,INE212H01026
A P L Apollo Tubes Ltd.,55-23443,1986,1.01014E+14,1,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",Tubes & pipes,24311,Decile 1,INE702C01019
A R S S Infrastructure Projects Ltd.,15-6230,2000,1.0106E+14,1,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways","Construction of roads, bridges, tunnels etc.",42101,Decile 1,INE267I01010
Aarti Drugs Ltd.,11-55433,1984,1.01012E+14,1,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","Drugs, medicines & allied products",2100,Decile 1,INE767A01016
Aarti Industries Ltd.,Apr-01,1984,1.01012E+14,1,"Manufacture  of  various  other  chemical  products  n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)","Chemical & chemical products, nec",20299,Decile 1,INE769A01020
Aban Offshore Ltd.,18-13473,1986,1.0106E+14,1,"Site preparation including drilling, boring and core sampling for construction, geophysical, geological or similar purposes",Offshore drilling,43122,Decile 1,INE421A01028
Abbott India Ltd.,Nov-30,1944,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 1,INE358A01014
Adani Enterprises Ltd.,04-19067,1993,1.0104E+14,1,"Wholesale of solid, liquid and gaseous fuels and related products","Wholesale trade in coal,lignite and peat",46610,Decile 1,INE423A01024
Adani Ports & Special Economic Zone Ltd.,04-34182,1998,1.01041E+14,1,Service activities incidental to water transportation,Ports,52220,Decile 1,INE742F01042
Adani Power Ltd.,04-30533,1996,1.0103E+14,1,"Electric power generation by non-coal based thermal (e.g. diesel, gas )",Thermal electricity,35103,Decile 1,INE814H01011
Adani Transmission Ltd.,04-77803,2013,1.0104E+14,1,"Wholesale of edible oils, fats, sugar and processed/manufactured spices etc.",Wholesale trade in vegetable oils,46305,Decile 1,INE931S01010
Adhunik Metaliks Ltd.,15-17271,2001,1.01014E+14,1,Manufacture of basic iron and steel,Iron & steel,2410,Decile 1,INE400H01019
Aditya Birla Fashion & Retail Ltd.,11-233901,2007,1.0104E+14,1,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",Retail trade in apparels (readymade garments),47711,Decile 1,INE647O01011
Ahluwalia Contracts (India) Ltd.,55-9654,1979,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of other industrial plants,42209,Decile 1,INE758C01029
Ajanta Pharma Ltd.,11-22059,1979,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 1,INE031B01049
Akzo Nobel India Ltd.,21-21516,1954,1.01013E+14,1,"Manufacture of paints and varnishes, enamels or lacquers",Decorative paints,20221,Decile 1,INE133A01011
Alembic Pharmaceuticals Ltd.,04-61123,2010,1.01012E+14,1,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.,"Pharmaceutical products, nec",21009,Decile 1,INE901L01018
Alkem Laboratories Ltd.,11-174201,1973,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 1,INE540L01014
Allcargo Logistics Ltd.,11-73508,1993,1.01041E+14,1,Support activities for transportation,Cargo handling,522,Decile 1,INE418H01029
Alok Industries Ltd.,54-334,1986,1.01012E+14,1,Finishing of cotton and blended cotton textiles.,Cotton textiles,13131,Decile 1,INE270A01011
Amar Remedies Ltd.,11-32687,1984,1.01013E+14,1,"Manufacture of preparations for oral or dental hygiene (includes manufacture of toothpastes, toothpowder, mouthwash, oral, perfumes, dental fixative pastes and powders etc.)",Tooth paste,20235,Decile 1,INE787G01011
Amara Raja Batteries Ltd.,Jan-05,1985,1.01015E+14,1,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material",Storage batteries,27201,Decile 1,INE885A01032
Amber Enterprises India Ltd.,16-10265,1990,1.01013E+14,1,"Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines other than for metals or glass; gaskets and similar joints made of a combination of materials or layers of the same material and other general purpose machinery including Manufacture of parts and accessories for general purpose machinery and equipment.)",Accessories of air conditioners & refrigerators,28199,Decile 1,INE371P01015
Ambuja Cements Ltd.,Apr-17,1981,1.01013E+14,1,Manufacture of clinkers and cement,Cement,23941,Decile 1,INE079A01024
Amtek Auto Ltd.,05-30333,1988,1.01015E+14,1,Manufacture of other attachments to motor vehicles n.e.c.,"Automobile ancillaries, nec",29209,Decile 1,INE130C01021
Anant Raj Ltd.,05-21622,1985,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Real estate,41001,Decile 1,INE242C01024
Andhra Sugars Ltd.,01-326,1947,1.01012E+14,1,Manufacture of organic and inorganic chemical compounds n.e.c.,Inorganic chemicals,20119,Decile 1,INE715B01013
Anil Ltd.,04-19895,1993,1.01012E+14,1,"Manufacture of gelatine and its derivatives, resinoids, glues, prepared adhesives, including rubber-based glues and adhesives","Starches modified, adhesives, etc.",20295,Decile 1,INE125E01019
Ankit Metal & Power Ltd.,21-94979,2002,1.01014E+14,1,Manufacture of direct reduction of iron (sponge iron) and other spongy ferrous products,Sponge iron,24102,Decile 1,INE106I01010
Ansal Housing & Construction Ltd.,55-16821,1983,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Housing real estate,41001,Decile 1,INE880B01015
Ansal Properties & Infrastructure Ltd.,55-4759,1967,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Real estate,41001,Decile 1,INE436A01026
Apar Industries Ltd.,04-12802,1989,1.01014E+14,1,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)","Wires & cables, insulated",27320,Decile 1,INE372A01015
Apollo Hospitals Enterprise Ltd.,18-8035,1979,1.01042E+14,1,Hospital activities,"Hospitals, health care centres, etc.",86100,Decile 1,INE437A01024
Apollo Tyres Ltd.,Sep-49,1972,1.01015E+14,1,Manufacture of rubber tyres and tubes n.e.c.,Tyres,22119,Decile 1,INE438A01022
Arshiya Ltd.,11-24747,1981,1.01041E+14,1,Cargo handling incidental to air transport,"Cargo handling, incidental to air transport",52243,Decile 1,INE968D01022
Arvind Ltd.,Apr-93,1931,1.01012E+14,1,"Weaving, Manufacture of cotton and cotton mixture fabrics.",Cotton fabrics,13121,Decile 1,INE034A01011
Asahi India Glass Ltd.,55-19542,1984,1.01015E+14,1,"Manufacture of other glassware/glass products: articles of glass used in construction such as glass blocks; clock or watch glasses, optical glass and optical glass elements not optically worked; and other glass products (including glass beads) n.e.c.",Glass & glass wares,23109,Decile 1,INE439A01020
Ashok Leyland Ltd.,18-105,1948,1.01015E+14,1,"Manufacture of commercial vehicles such as vans, lorries, over-the-road tractors for semi-trailers etc.",Heavy commercial vehicles,29102,Decile 1,INE208A01029
Ashoka Buildcon Ltd.,11-71970,1993,1.0106E+14,1,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways","Construction of roads, bridges, tunnels etc.",42101,Decile 1,INE442H01029
Asian Hotels (North) Ltd.,55-11037,1980,1.0104E+14,1,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats","Hotels, resorts & restaurants",55101,Decile 1,INE363A01022
Asian Paints Ltd.,Nov-98,1945,1.01013E+14,1,"Manufacture of paints and varnishes, enamels or lacquers",Paints & varnishes,20221,Decile 1,INE021A01026
Asian Star Co. Ltd.,11-86017,1995,1.01013E+14,1,Working of diamonds and other precious and semi-precious stones including the working of industrial quality stones and synthetic or reconstructed precious or semi-precious stones,Diamonds,32112,Decile 1,INE194D01017
Aster D M Healthcare Ltd.,09-21703,2008,1.01042E+14,1,Hospital activities,"Hospitals, health care centres, etc.",86100,Decile 1,INE914M01019
Astral Poly Technik Ltd.,04-29134,1996,1.01012E+14,1,Manufacture of other plastics products n.e.c.,"Tubes, pipes & hoses of polyethylene",22209,Decile 1,INE006I01046
Atul Ltd.,Apr-59,1975,1.01012E+14,1,Manufacture of Chemicals and Chemical products,Chemicals & chemical products,20,Decile 1,INE100A01010
